id_partie,status,joueur_depart,joueur_gagnant,rows,cols,confiance,signature
61873,terminee,R,Y,9,9,1,3766544454553315344335576666
61872,terminee,R,Y,9,9,1,674544466567755755669775117755711222919929616991123644122444229988
61871,terminee,R,Y,9,9,1,4743546445665565563787777637
61870,terminee,R,Y,9,9,1,67465355463443
61869,terminee,R,R,9,9,1,3364546444787766855
61868,terminee,R,Y,9,9,1,545455565446466644665564882426582289228898819919999922182777111333
61867,terminee,R,Y,9,9,1,355654746544766477544596656659777691999993134488881511888881922333
61866,terminee,R,R,9,9,1,764556555565442665564413233
61865,terminee,R,R,9,9,1,5463455654612868448566854656655888884441119999191191922222222137777
61864,terminee,R,Y,9,9,1,75446445567756556767765446655777146441981111111823322922929888
61863,terminee,R,R,9,9,1,5446644557598567663
61862,terminee,R,Y,9,9,1,43346657545564466555645466956899114882291991892814121189198288222233
61861,terminee,R,R,9,9,1,67474664663574755
61860,terminee,R,Y,9,9,1,46676586445777554665525477
61859,nulle,R,,9,9,1,546554446655422466654556646132542222239999999331929111118777777777333888888881133
61858,terminee,R,R,9,9,1,5765546556766452556266441444411122214681128887777
61857,terminee,R,Y,9,9,1,6767465344753355844637
61856,terminee,R,R,9,9,1,5675565464784766447
61855,terminee,R,R,9,9,1,54575564544462666576777615214665512227411443333323229219888
61854,terminee,R,R,9,9,1,54645566554566877884877
61853,terminee,R,R,9,9,1,547664446554554222778
61852,terminee,R,R,9,9,1,466446554532565425633
61851,terminee,R,Y,9,9,1,4654545565472366644898588118183145441228885239332392222977
61850,terminee,R,R,9,9,1,346545655643446655564546686744592999777
61849,terminee,R,R,9,9,1,564665655547662378933578773552988
61848,terminee,R,R,9,9,1,4647445466576557765445233
61847,terminee,R,Y,9,9,1,75646546565236653552333698622893444434344252
61846,nulle,R,,9,9,1,647345245589533747523666888455663378775636687344224587222299999488297391911111111
61845,terminee,R,Y,9,9,1,4555664556447664777574467769441596155779329911121691993888
61844,terminee,R,Y,9,9,1,463346665244332422397655575549554992337734272666542219111377799967111988
61843,terminee,R,Y,9,9,1,556444556487544277887331
